value
"37,254,523"
"25,145,561"
"18,801,310"
"19,378,102"
"12,702,379"
"12,830,632"
"11,536,504"
"9,687,653"
"9,535,483"
"9,883,640"
"8,791,894"
"8,001,024"
"6,724,540"
"6,392,017"
"6,547,629"
"6,346,105"
"6,483,802"
"5,988,927"
"5,773,552"
"5,686,986"
"5,029,196"
"5,303,925"
"4,625,364"
"4,779,736"
"4,533,372"
"4,339,367"
"3,831,074"
"3,751,351"
"3,574,097"
"2,763,885"
"3,725,789"
"3,046,355"
"2,700,551"
"2,915,918"
"2,967,297"
"2,853,118"
"2,059,179"
"1,826,341"
"1,567,582"
"1,852,994"
"1,360,301"
"1,316,470"
"1,328,361"
"989,415"
"1,052,567"
"897,934"
"814,180"
"672,591"
"710,231"
"601,723"
"625,741"
"563,626"
